Lok Sabha,Member Name,Gender,Constituency Name,State Name,Party Name
First Lok Sabha,Mulla Taherali Mulla Abdullabhai,Male,Chanda,Madhya Pradesh,Congress
First Lok Sabha,Shri Abdus Sattar,Male,Kalna-Katwa,West Bengal,Congress
First Lok Sabha,Seth Achal Singh,Male,Agra,Uttar Pradesh,Congress
First Lok Sabha,Shri Sunkam Achalu,Male,Nalgonda-SC,Hyderabad,Peoples Democratic Front
First Lok Sabha,Lala Achint Ram,Male,Hissar,Punjab,Congress
First Lok Sabha,Shri K.T. Achuthan,Male,Cangannur,Travancore-Cochin,Congress
First Lok Sabha,Shri Hoti Lal Agarwal,Male,Jalaun Distt. cum Etawah Distt.(West) cum Jhansi Distt .(North),Uttar Pradesh,Congress
First Lok Sabha,Shri Shriman Narayan Dharam Narayan Agarwal,Male,Wardha,Madhya Pradesh,Congress
First Lok Sabha,Shri Mukund Lal Agrawal,Male,Pilibhit Distt. cum Bareilly Distt. (East),Uttar Pradesh,Congress
First Lok Sabha,Shri Ahmed Mohiuddin,Male,Hyderabad City,Hyderabad,Congress
First Lok Sabha,Shri Ajit Singh,Male,Kapurthala-Bhatinda-SC,Patiala and East Punjab States,Akali
First Lok Sabha,Sardar Teja Singh Akarpuri,Male,Gurdaspur,Punjab,Congress
First Lok Sabha,Shri O.V. Alagesan Mudaliar,Male,Chengleput,Madras,Congress
First Lok Sabha,Shri Ganesh Sadashiv Altekar,Male,North Satara,Bombay,Congress
First Lok Sabha,Shri Joachim Alva,Male,Kanara,Bombay,Congress
First Lok Sabha,Dr. Indubhai Bhailal Bhai Amin,Male,Baroda West,Bombay,Independent
First Lok Sabha,Shri Amjad Ali,Male,Goalpara-Garo Hills-ST,Assam,Socialist
First Lok Sabha,Rajkumari Amrit Kaur,Female,Mandi - Mahasu-SC,Himachal Pradesh,Congress
First Lok Sabha,Shri Anand Chand,Male,Bilaspur,Bilaspur,Independent
First Lok Sabha,Dr. Shaukatullah Shah Ansari,Male,Bidar,Hyderabad,Congress
First Lok Sabha,Shri Frank Anthony,Male,Nominated Anglo-Indian,NA,Nominated
First Lok Sabha,Dr. Suresh Chandra Shiv Prasad Arya,Male,Aurangabad,Hyderabad,Congress
First Lok Sabha,Shri Sita Ram Asthana,Male,Azamgarh Distt West-SC,Uttar Pradesh,Congress
First Lok Sabha,Shri Madabhusi Ananthasayanam Ayyangar,Male,Tirupati,Madras,Congress
First Lok Sabha,Maulana Abul Kalam Azad,Male,Rampur Dist cum Bareilly dist(west),Uttar Pradesh,Congress
First Lok Sabha,Shri Maganlal Radhakrishnan Bagdi,Male,Mahasamund,Madhya Pradesh,Congress
First Lok Sabha,Shri Bahadur Singh,Male,Ferozepur- Ludhiana-SC,Punjab,Akali
