constituency,category,phase,state,state_abbrev
Adilabad ,ST ,7,Andhra Pradesh,AP
Peddapalle ,SC ,7,Andhra Pradesh,AP
Karimnagar ,GEN ,7,Andhra Pradesh,AP
Nizamabad ,GEN ,7,Andhra Pradesh,AP
Zahirabad ,GEN ,7,Andhra Pradesh,AP
Medak ,GEN ,7,Andhra Pradesh,AP
Malkajgiri ,GEN ,7,Andhra Pradesh,AP
Secunderabad ,GEN ,7,Andhra Pradesh,AP
Hyderabad ,GEN ,7,Andhra Pradesh,AP
Chevella,GEN ,7,Andhra Pradesh,AP
Mahbubnagar ,GEN ,7,Andhra Pradesh,AP
Nagarkurnool ,SC ,7,Andhra Pradesh,AP
Nalgonda ,GEN ,7,Andhra Pradesh,AP
Bhongir ,GEN ,7,Andhra Pradesh,AP
Warangal ,SC ,7,Andhra Pradesh,AP
Mahabubabad ,ST ,7,Andhra Pradesh,AP
Khammam ,GEN ,7,Andhra Pradesh,AP
Araku ,ST ,8,Andhra Pradesh,AP
Srikakulam ,GEN ,8,Andhra Pradesh,AP
Vizianagaram ,GEN ,8,Andhra Pradesh,AP
Visakhapatnam ,GEN ,8,Andhra Pradesh,AP
Anakapalle ,GEN ,8,Andhra Pradesh,AP
Kakinada ,GEN ,8,Andhra Pradesh,AP
Amalapuram ,SC ,8,Andhra Pradesh,AP
Rajahmundry ,GEN ,8,Andhra Pradesh,AP
Narsapuram ,GEN ,8,Andhra Pradesh,AP
Machilipatnam ,GEN ,8,Andhra Pradesh,AP
Vijayawada ,GEN ,8,Andhra Pradesh,AP
Guntur ,GEN ,8,Andhra Pradesh,AP
Narasaraopet ,GEN ,8,Andhra Pradesh,AP
Bapatla ,SC ,8,Andhra Pradesh,AP
Ongole ,GEN ,8,Andhra Pradesh,AP
Nandyal ,GEN ,8,Andhra Pradesh,AP
Kurnool ,GEN ,8,Andhra Pradesh,AP
Anantapur ,GEN ,8,Andhra Pradesh,AP
Hindupur ,GEN ,8,Andhra Pradesh,AP
Kadapa ,GEN ,8,Andhra Pradesh,AP
Nellore ,GEN ,8,Andhra Pradesh,AP
Tirupati ,SC ,8,Andhra Pradesh,AP
Rajampet ,GEN ,8,Andhra Pradesh,AP
Chittoor ,SC ,8,Andhra Pradesh,AP
Arunachal West ,GEN ,2,Arunachal Pradesh,AR
Arunachal East ,GEN ,2,Arunachal Pradesh,AR
Tezpur ,GEN ,1,Assam,AS
Kaliabor ,GEN ,1,Assam,AS
Jorhat ,GEN ,1,Assam,AS
Dibrugarh ,GEN ,1,Assam,AS
Lakhimpur ,GEN ,1,Assam,AS
Karimganj ,SC ,4,Assam,AS
Silchar ,GEN ,4,Assam,AS
Autonomous District ,ST ,4,Assam,AS
Dhubri ,GEN ,6,Assam,AS
Kokrajhar ,ST ,6,Assam,AS
Barpeta ,GEN ,6,Assam,AS
Gauhati ,GEN ,6,Assam,AS
Mangaldoi ,GEN ,6,Assam,AS
Nawgong ,GEN ,6,Assam,AS
Sasaram ,SC ,3B,Bihar,BR
Karakat ,GEN ,3B,Bihar,BR
Aurangabad ,GEN ,3B,Bihar,BR
Gaya ,SC ,3B,Bihar,BR
Nawada ,GEN ,3B,Bihar,BR
Jamui ,SC ,3B,Bihar,BR
Munger ,GEN ,5,Bihar,BR
Nalanda ,GEN ,5,Bihar,BR
Patna Sahib ,GEN ,5,Bihar,BR
Pataliputra ,GEN ,5,Bihar,BR
Arrah ,GEN ,5,Bihar,BR
Buxar ,GEN ,5,Bihar,BR
Jahanabad ,GEN ,5,Bihar,BR
Supaul ,GEN ,6,Bihar,BR
Araria ,GEN ,6,Bihar,BR
Kishanganj ,GEN ,6,Bihar,BR
Katihar ,GEN ,6,Bihar,BR
