State,Constituency No,Constituency,Candidate,Party,Website
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands ,Shri B.P. Ray ,BJP,
Andhra Pradesh,1,Adilabad (ST) ,Shri Tukaram ,BJP,
Andhra Pradesh,4,Nizamabad ,Dr. J. Bapi Reddy,BJP,
Andhra Pradesh,6,Medak ,Shri Patlolla Niroop,BJP,
Andhra Pradesh,7,Malkajgiri ,Shri N. Indrasena Reddy,BJP,
Andhra Pradesh,8,Secunderabad ,Shri Bandaru Dattatraya,BJP,
Andhra Pradesh,9,Hyderabad ,Shri Satish Agarwal,BJP,
Andhra Pradesh,10,Chevella ,Shri Baddam bal Reddy,BJP,
Andhra Pradesh,13,Nalgonda ,Shri Sriram Vedire,BJP,
Andhra Pradesh,16,Mahabubabad (ST) ,Shri Banothu Dileep Naik,BJP,
Andhra Pradesh,17,Khammam ,Shri Kapilvai Ravinder,BJP,
Andhra Pradesh,18,Araku (ST) ,Shri Kurasa Bojjaiah,BJP,
Andhra Pradesh,19,Srikakulam ,Shri Duppala Ravindra Babu,BJP,
Andhra Pradesh,20,Vizianagaram ,Shri P. Sanyasi Raju,BJP,
Andhra Pradesh,21,Visakhapatnam ,Shri D.V. Subba Rao,BJP,
Andhra Pradesh,28,Machilipatnam ,Smt. Bhogadi Ramadevi,BJP,
Andhra Pradesh,29,Vijayawada ,Shri Laka Vengalarao Yadav,BJP,
Andhra Pradesh,32,Bapatla (SC) ,Shri Battuala Rosaiah,BJP,
Andhra Pradesh,33,Ongole ,Shri Mandava Vasadeva,BJP,
Andhra Pradesh,36,Anantapur ,Shri Ambati Ramakrishna Reddy,BJP,
Andhra Pradesh,37,Hindupur ,Shri K. Naresh,BJP,
Andhra Pradesh,40,Tirupati (SC) ,Dr. N. Venkata Swamy,BJP,
Andhra Pradesh,41,Rajampet ,Dr. A. Harinath Reddy ,BJP,
Arunachal Pradesh ,1,West Arunachal (ST) ,Shri Kiren Rijiju,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3972
Arunachal Pradesh,2,East Arunachal (ST) ,Shri Tapir Gao,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3973
Assam,1,Karimganj (SC) ,Shri Sudanshu Das,BJP,
Assam,2,Silchar ,Shri Kabindrapurkayasth,BJP,
Assam,3,Autonomous District (ST) ,Shri Kulendra Doulagapu,BJP,
Assam,4,Dhubri ,Shri Nilimoy Pradhani,BJP,
Assam,7,Gauhati ,Smt. Bijoya Chakraborty,BJP,
Assam,8,Mangaldoi ,Shri Ramen Deka,BJP,
Assam,10,Nowgong ,Shri Rajan Gohain,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=143
Assam,12,Jorhat ,Shri Kamakhya Prasad Tasa ,BJP,
Bihar,2,West Champaran ,Dr. Sanjay Jaiswal,BJP,
Bihar,3,Purvi Champaran ,Shri Radha Mohan Singh,BJP,
Bihar,4,Sheohar ,Smt. Rama Devi,BJP,
Bihar,6,Madhubani ,Shri Hukumdev Narayan Yadav,BJP,
Bihar,9,Araria ,Shri Pradeep Singh Gange,BJP,
Bihar,11,Katihar ,Shri Nikhil Choudhary,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=90
