State,Constituency No,Constituency,Candidate,Party,Website,Caste,Sex,Education
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands ,B.P. Ray ,BJP,,,Male,
Andhra Pradesh,1,Adilabad  ,Tukaram ,BJP,,ST,Male,
Andhra Pradesh,4,Nizamabad ,J. Bapi Reddy,BJP,,,Male,Graduate
Andhra Pradesh,6,Medak ,Patlolla Niroop,BJP,,,Male,
Andhra Pradesh,7,Malkajgiri ,N. Indrasena Reddy,BJP,,,Male,
Andhra Pradesh,8,Secunderabad ,Bandaru Dattatraya,BJP,,,Male,
Andhra Pradesh,9,Hyderabad ,Satish Agarwal,BJP,,,Male,
Andhra Pradesh,10,Chevella ,Baddam bal Reddy,BJP,,,Male,
Andhra Pradesh,13,Nalgonda ,Sriram Vedire,BJP,,,Male,
Andhra Pradesh,16,Mahabubabad  ,Banothu Dileep Naik,BJP,,ST,Male,
Andhra Pradesh,17,Khammam ,Kapilvai Ravinder,BJP,,,Male,
Andhra Pradesh,18,Araku  ,Kurasa Bojjaiah,BJP,,ST,Male,
Andhra Pradesh,19,Srikakulam ,Duppala Ravindra Babu,BJP,,,Male,
Andhra Pradesh,20,Vizianagaram ,P. Sanyasi Raju,BJP,,,Male,
Andhra Pradesh,21,Visakhapatnam ,D.V. Subba Rao,BJP,,,Male,
Andhra Pradesh,28,Machilipatnam ,Smt. Bhogadi Ramadevi,BJP,,,Female,
Andhra Pradesh,29,Vijayawada ,Laka Vengalarao Yadav,BJP,,,Male,
Andhra Pradesh,32,Bapatla  ,Battuala Rosaiah,BJP,,SC,Male,
Andhra Pradesh,33,Ongole ,Mandava Vasadeva,BJP,,,Male,
Andhra Pradesh,36,Anantapur ,Ambati Ramakrishna Reddy,BJP,,,Male,
Andhra Pradesh,37,Hindupur ,K. Naresh,BJP,,,Male,
Andhra Pradesh,40,Tirupati  ,N. Venkata Swamy,BJP,,SC,Male,Graduate
Andhra Pradesh,41,Rajampet ,A. Harinath Reddy ,BJP,,,Male,Graduate
Arunachal Pradesh ,1,West Arunachal,Shri Kiren Rijiju,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3972,ST,Male,
Arunachal Pradesh,2,East Arunachal,Shri Tapir Gao,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3973,ST,Male,
Assam,1,Karimganj,Sudanshu Das,BJP,,SC,Male,
Assam,2,Silchar ,Kabindrapurkayasth,BJP,,,Male,
Assam,3,Autonomous District,Kulendra Doulagapu,BJP,,ST,Male,
Assam,4,Dhubri ,Nilimoy Pradhani,BJP,,,Male,
Assam,7,Gauhati ,Bijoya Chakraborty,BJP,,,Female,
Assam,8,Mangaldoi ,Ramen Deka,BJP,,,Male,
Assam,10,Nowgong ,Rajan Gohain,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=143,,Male,
Assam,12,Jorhat ,Kamakhya Prasad Tasa ,BJP,,,Male,
Bihar,2,West Champaran ,Sanjay Jaiswal,BJP,,,Male,Graduate
Bihar,3,Purvi Champaran ,Radha Mohan Singh,BJP,,,Male,
Bihar,4,Sheohar ,Rama Devi,BJP,,,Female,
Bihar,6,Madhubani ,Hukumdev Narayan Yadav,BJP,,,Male,
Bihar,9,Araria ,Pradeep Singh Gange,BJP,,,Male,
