List of MPs with pending cases (Lok Sabha2004),,,,,,,,,,,,,,,,,,,,
S.No,State,Constituency,Candidate,Sex,Age,Category,Party,Sections,Criminal cases,,,,,,,,,,,
1,ANDHRA PRADESH,Rajahmundry,ARUNA KUMAR VUNDAVALLI,M,49,GEN,INC,"8(H) of AP prohibition act 1995, 309 of IPC attempt to commit sucide","8(H) of AP prohibition act 1995, 309 of IPC attempt to commit sucide",,,,,,,,,,,
2,ANDHRA PRADESH,Narasapura,CHEGONDI VENKATA HARIRAMA JOGAIAH,M,67,GEN,INC,"63, 69 of copy right act 1957", copy right act 1957,,,,,,,,,,,
3,ANDHRA PRADESH,Khammam,RENUKA CHOUDHURY,F,49,GEN,INC," 186, 353,332","Obstructing public servant in discharging of public functions, Hurting public servant to prevent him from doing his duty",,,,,,,,,,,
4,ANDHRA PRADESH,Nalgonda,SURAVARAM SUDHAKAR REDDY,M,62,GEN,CPI,"147, 148, 188, 332, 307 / R / W , 149, 25 &27 IA act Sec. 3&4 of PPDA act","Rioting with deadly weapon, disobeying public servant, Hurting public servant to prevent him from doing his duty, Attempt to murder, Arms act,  PPDA act",,,,,,,,,,,
5,BIHAR,Bagaha,KAILASH BAITHA,M,55,SC,JD(U),"Case No 312/2003 u/s  147, 148,149, 353, 435,   342, 337, 307, 120 (B) , Case No. 313/.2003 u/s 147, 148, 149, 341, 307, 427, 120 (B) and 27 Arms Act","Rioting, Rioting with deadly weapons, Offences committed by unlawful assembly, Assaulting  public servant to prevent him from doing his duty, Damage to property by fire and explosive, Wrongful confinement, Endangering life and safety of people, Attemt to murder, Criminal conspiracy, Wrongful restraint, Causing damage, Arm Act",,,,,,,,,,,
6,BIHAR,Gopalganj,ANIRUDH PRASAD ALIAS SADHU YADAV,M,44,GEN,RJD,"RC 4/5/97 ( Delhi) u/s 147,148,149,323,307 IPC
Case No GardaniBagh (Patna) PS 42/2001 u/s 448,353,506,347 IPC
Case No (Gopalganj) 466/2002 u/s 323,341, 354, 385, IPC","Rioting, Rioting with deadly weapons, Offences committed by unlawful assembly, Two counts of Causing hurt, Attempt to murder, House trespass, Assaulting  public servant to prevent him from doing his duty, Criminal intimidation and death threat, Wrongful confinement, Wrongful restraint, Indescent Assault on women, Extortion",,,,,,,,,,,
7,BIHAR,Maharajganj,PRABHUNATH SINGH,M,49,GEN,JD(U),"414, 341, 323, 504/34, 27 Arms Act, 9 B.C.U Loud speaker Act","Assisting in concealment of a stolen property, Wrongful restraint, Causing hurt, International insult with intent to provoke breach of peace, Arms Act, 9 B.C.U Loud speaker Act",,,,,,,,,,,
8,BIHAR,Sitamarhi,SITARAM YADAV,M,56,GEN,RJD,"323, 500, 504, 3(1)(V)(10) SC&ST Act / 147,149, 323, 355, 452, 3(X)(XI) SC&ST Act","Causing hurt, Defamation, International insult with intent to provoke breach of peace, Rioting, Offences cimmitted by unlawful assembly, Assault or criminal force to dishonour person,House trespass after preparation for hurt, assault, SC&ST Act",,,,,,,,,,,
9,BIHAR,Barh,VIJAY KRISHNA,M,53,GEN,RJD,Case No 67/95 GRNo.211/95 Bihar Property Defacement Act-1985,Case No 67/95 GRNo.211/95 Bihar Property Defacement Act-1985,,,,,,,,,,,
10,BIHAR,Balia,SURAJ SINGH,M,39,GEN,LJNSP,"306, 353, 34, 25(1BA), 26, ARMS Act, 420, 294(A), 306, 26 ARMS Act, 302, 307, 404, 34, 120B, 384, 147, 148,  149, 302, 446, 306, 429, 26,  ARMS ACT, 144, 447, 353, 306, 379, 26 ARMS ACT, 135 (1), 137(2) R.P.ACT, 341, 306, 302, 379, 34, 26 ARMS ACT, 302, 34, 386, 34, 147, 148, 149, 306, 302, 26 ARMS ACT, 302, 307, 34, 120B, 379, 27 ARMS ACT, 302, 392, 120B, 34, 27 ARMS ACT, 302, 34, 27 ARMS ACT, 302, 353, 120B, 34","Abetment of suicide, Assault of criminal force to deter public servant from discharge of his duty, Criminal Act jointly commited, Cheating and dishonestly inducing delivery of property, Keeping lottery office, Murder, Attempt to murder, Dishonest misappropriation of property, criminal conspiracy, Punishment for extortion, Rioting, Rioting with deadly weapons, Offences committed by unlawful assembly, House breaking by night, mischief by killing or mamming animal, Lurking-house trespass by night, criminal trespass, Assaulting public servant to prevent him fron doing his duty, theft, extortion by putting a person in fear of death, robbery, Arms Act",,,,,,,,,,,
11,BIHAR,Madhepura,LALU PRASAD,M,55,GEN,RJD,"Case No. RC - 5(A)/98 : 13 (2) and 13 (1) (e) prevention of corruption act
RC 20 (A)/96, RC 38(A)/96, RC 47(A)/96, RC 63(A)/96, RC 64(A)/96, RC 68(A)/96 u/s 409, 467, 468, 471, 473, 474, 477(A), 420, 418, 472 IPC ","Prevention of corruption act, Breach of trust, Forgery, cheating",,,,,,,,,,,
12,BIHAR,Araria,SUKDEO PASWAN,M,51,SC,BJP,Case No. (Narpat PS) 22/89 GR No. 96/89 u/s 409 IPC,Breach of trust,,,,,,,,,,,
13,BIHAR,Kishanganj,TASLIMUDDIN,M,62,GEN,RJD,"Case No. (Araria PS) 19/82 u/s 144, 188 IPC
Case No. (Araria PS) 133/82 u/s 309/34 IPC
Case No. (Araria PS) 53/82 u/s 147, 448, 323, 337, 426 IPC
Case No. (Araria PS) 40/86 u/s 341, 342, 323, 307, 504, 506, 379/34 IPC
Case No. (Araria PS) 42/86 u/s 147","Unlawful assembly with deadly weapon , Disobeying  Public Servant, Attempt to commit suicide, Criminal act jointly committed, Rioting with deadly weapon, House trespass,Three counts of causing hurt, Attempt to murder, breach of trust, Criminal intimidation and death threat, Theft",,,,,,,,,,,
